PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAWA_woman\Women_Action_6.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1420	41	mm	120.00	1	      1420
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-66.69164	1638.55737	-50.81042	-66.42209	1494.79846	-110.67671	-84.58369	1644.01172	60.86249	-8.34617	1597.66418	-47.89294	-213.33453	1335.77344	-14.11397	54.09386	1348.30029	-2.70582	-88.27660	1336.83887	-52.78574	-5.70818	1248.86047	-69.71693	-382.19598	1271.46069	-1.37782	-488.24829	1275.26428	45.95515	-558.42267	1340.40344	46.94044	-686.33057	1326.59607	104.17912	-700.87775	1328.44824	46.33505	-765.33636	1293.34802	116.01003	-782.79047	1312.45239	49.26766	231.79745	1316.35229	-2.29990	337.00851	1310.93970	34.26883	430.80389	1350.48865	35.88197	555.17554	1345.48621	121.39186	562.36810	1355.53577	53.46260	600.24774	1330.89600	138.11450	631.44409	1360.19714	74.26247	-205.53430	908.29486	116.52959	29.15590	898.54224	133.57042	-206.92796	914.87018	-30.91665	54.15421	910.68823	-7.15264	-73.43400	901.03754	-56.36366	-237.70688	696.02905	90.43854	-199.22726	401.45828	-8.47675	-173.99318	292.24423	32.78234	-142.72871	58.77373	-18.90031	-167.95403	32.86927	126.98585	-83.63332	46.57625	-49.32487	-200.97102	28.24297	74.97103	80.32781	700.03149	100.07481	41.72786	417.04050	18.29524	16.29736	303.71362	28.98177	5.24558	71.11802	-26.40227	-60.97856	47.25138	-39.74512	38.92302	34.58552	108.64730	66.97756	29.02068	62.28535	
2	0.008	-66.66873	1638.66333	-50.31369	-66.59088	1495.03723	-110.35776	-84.49617	1644.03406	60.94687	-8.28994	1597.64526	-47.51830	-213.33453	1335.77344	-14.11397	54.02931	1348.33301	-2.60644	-88.35963	1336.88184	-52.59720	-5.72794	1249.00842	-69.66180	-382.06967	1271.49878	-1.14275	-488.25122	1275.44312	45.91525	-558.42267	1340.40344	46.94044	-686.43927	1326.45020	104.16029	-700.80469	1328.56580	46.23883	-765.38556	1293.30371	115.97511	-782.83380	1312.43787	49.01624	231.74472	1316.28088	-1.95768	336.86823	1311.11694	34.69678	430.38806	1350.64844	36.24931	555.26025	1345.69153	122.03375	562.39288	1355.94360	53.90007	600.09961	1331.02905	138.55556	631.22064	1360.45789	74.79586	-205.54486	908.22253	116.44672	29.13956	898.57520	133.74103	-206.81467	914.88190	-30.63468	54.04790	910.84009	-6.95429	-73.52686	901.00293	-56.25649	-237.70375	695.95636	90.82069	-199.16173	401.45865	-8.37247	-174.06633	292.28104	32.86956	-142.72871	58.77373	-18.90031	-168.03259	32.84248	126.98251	-83.63332	46.57625	-49.32487	-200.97102	28.24297	74.97103	80.32781	700.03149	100.07481	41.71856	416.99738	18.45642	16.29736	303.71362	28.98177	5.24558	71.11802	-26.40227	-60.97856	47.25138	-39.74512	38.93069	34.54062	108.71981	66.97756	29.02068	62.28535	
3	0.017	-66.75152	1638.67773	-49.96138	-66.46945	1495.15942	-110.24303	-84.71180	1644.04993	61.30375	-8.27724	1597.86890	-47.38513	-213.28419	1335.79846	-14.06665	53.98224	1348.34558	-2.52701	-88.41508	1337.12244	-52.28014	-5.72794	1249.00842	-69.66180	-382.06967	1271.49878	-1.14275	-488.25122	1275.44312	45.91525	-558.47400	1340.45154	47.00787	-686.33057	1326.59607	104.17912	-701.04443	1328.75671	46.08098	-765.39709	1293.13403	115.88371	-782.76666	1312.43823	48.89514	231.91196	1316.32532	-1.64751	336.99237	1311.14893	34.98079	430.40741	1350.99353	36.54130	555.23230	1345.85425	122.91453	562.15234	1356.27234	53.97101	599.96503	1331.06006	138.79817	631.57452	1360.80396	75.47769	-205.48372	908.20282	116.57699	29.01261	898.57062	133.96870	-206.93568	914.95123	-30.62991	54.04608	910.74982	-6.94402	-73.38519	900.92456	-56.10854	-237.69469	695.95752	90.95127	-199.16818	401.49301	-8.26785	-173.98053	292.32529	32.94579	-142.72871	58.77373	-18.90031	-167.95403	32.86927	126.98585	-83.81532	46.55606	-49.28533	-200.97102	28.24297	74.97103	80.24940	700.02100	100.18087	41.81462	417.09442	18.72649	16.27449	303.79071	29.14995	5.24558	71.11802	-26.40227	-60.97856	47.25138	-39.74512	38.93069	34.54062	108.71981	66.97756	29.02068	62.28535	
4	0.025	-66.80864	1638.76599	-49.61062	-66.21815	1495.32727	-109.64375	-84.67890	1643.94653	61.64880	-8.17177	1597.95984	-46.63837	-213.26607	1335.73755	-13.97124	53.92374	1348.34937	-2.43535	-88.37913	1337.19934	-52.29198	-5.80628	1248.94702	-69.63162	-382.13419	1271.30981	-0.99224	-488.25122	1275.44312	45.91525	-558.42578	1340.51917	47.14622	-686.36743	1326.72107	104.13705	-700.51874	1328.87402	45.93897	-765.39709	1293.13403	115.88371	-782.70966	1312.40601	48.72451	231.70876	1316.27039	-1.55864	336.91260	1311.21411	35.04602	430.42407	1351.09021	36.78121	554.83246	1345.62830	123.05009	562.34674	1356.33301	54.23149	599.64929	1331.41919	139.25577	631.35291	1361.23499	75.93175	-205.43024	908.18134	116.82703	29.22297	898.53375	133.97960	-206.80379	914.91681	-30.41306	53.99755	910.73547	-6.84023	-73.40479	901.06097	-56.04736	-237.66890	695.87042	91.07578	-199.18167	401.45181	-8.15694	-173.95541	292.24905	32.95990	-142.72871	58.77373	-18.90031	-168.07687	32.79036	126.94965	-83.61265	46.56896	-49.22854	-200.97102	28.24297	74.97103	80.35432	700.04517	100.22256	41.88334	417.09662	18.85151	16.27449	303.79071	29.14995	5.24558	71.11802	-26.40227	-60.97856	47.25138	-39.74512	38.93069	34.54062	108.71981	66.97756	29.02068	62.28535	
5	0.033	-66.79943	1638.81897	-49.40991	-66.15503	1495.43530	-109.57551	-84.91459	1644.04907	62.28772	-8.17402	1598.01941	-46.41570	-213.26607	1335.73755	-13.97124	53.81222	1348.34558	-2.29346	-88.50772	1337.30615	-51.90384	-5.80628	1248.94702	-69.63162	-381.95349	1271.12366	-0.84106	-488.25122	1275.44312	45.91525	-558.30676	1340.56262	47.22752	-686.40027	1326.76086	104.15112	-700.72528	1328.96960	45.99211	-765.34259	1293.15369	115.70282	-782.63800	1312.47986	48.73758	231.85500	1316.43640	-1.20691	336.91797	1311.18665	35.25298	430.30124	1351.44116	37.19341	554.33112	1346.01245	123.54232	562.17792	1356.47559	54.85884	599.76404	1331.66492	139.65781	631.09003	1361.41858	76.30321	-205.43024	908.18134	116.82703	29.25017	898.45978	133.99092	-206.81200	914.82233	-30.17155	54.13671	910.67859	-6.76270	-73.39622	901.09631	-55.70998	-237.66890	695.87042	91.07578	-199.28734	401.40237	-7.91751	-173.95541	292.24905	32.95990	-142.72871	58.77373	-18.90031	-167.95403	32.86927	126.98585	-83.41116	46.38437	-49.08820	-200.93237	28.22413	75.00548	80.35432	700.04517	100.22256	41.87139	417.01910	18.78000	16.27449	303.79071	29.14995	5.24558	71.11802	-26.40227	-60.97856	47.25138	-39.74512	38.92302	34.58552	108.64730	66.97756	29.02068	62.28535	
6	0.042	-66.68616	1638.98169	-48.95419	-66.05667	1495.46082	-109.44157	-84.91954	1643.92480	62.52381	-8.09135	1597.97241	-46.32433	-213.24391	1335.74170	-13.90562	53.84914	1348.45496	-2.05281	-88.75871	1337.27283	-51.85481	-5.98955	1249.11792	-69.53769	-381.89929	1270.97168	-0.76787	-488.25122	1275.44312	45.91525	-558.38861	1340.53528	47.19555	-686.53717	1326.82971	104.17791	-700.68878	1329.14038	46.02740	-765.41339	1293.16614	115.81464	-782.63800	1312.47986	48.73758	231.71759	1316.61523	-1.13508	336.84851	1311.22168	35.43496	430.33234	1351.63879	37.32536	553.99438	1346.55774	124.16563	562.08954	1356.55029	55.03586	599.57489	1331.69519	139.83275	630.75470	1361.64221	76.81292	-205.30074	908.12836	117.27526	29.16027	898.45294	134.10239	-206.85771	914.91553	-30.03521	54.13671	910.67859	-6.76270	-73.39622	901.09631	-55.70998	-237.57089	695.88171	91.20876	-199.24580	401.52487	-7.72752	-173.95541	292.24905	32.95990	-142.72871	58.77373	-18.90031	-167.95335	32.85547	127.02223	-83.81996	46.67834	-49.37819	-200.97102	28.24297	74.97103	80.35432	700.04517	100.22256	41.88334	417.09662	18.85151	16.27449	303.79071	29.14995	5.24558	71.11802	-26.40227	-61.09591	47.17526	-39.71414	38.92302	34.58552	108.64730	66.97756	29.02068	62.28535	
7	0.050	-66.81297	1638.98108	-48.77508	-66.10980	1495.75793	-109.38266	-85.12166	1644.00525	63.14684	-8.06139	1598.08728	-45.74110	-213.19936	1335.76099	-13.72045	53.90360	1348.53650	-1.60453	-88.51713	1337.08716	-51.58192	-5.99547	1249.23425	-69.35715	-381.89929	1270.97168	-0.76787	-488.25122	1275.44312	45.91525	-558.22546	1340.66870	47.35645	-686.91663	1327.07959	104.47321	-700.68878	1329.14038	46.02740	-765.35327	1293.25586	115.73499	-782.58228	1312.38354	48.69112	231.71080	1316.82251	-0.99752	336.86533	1311.34265	35.40680	430.31302	1351.76025	37.38048	554.22076	1346.92725	124.36408	561.97095	1356.77441	55.48674	600.06732	1332.21558	140.91948	630.67346	1361.73450	77.53034	-205.14403	908.07056	117.28639	29.13838	898.56677	134.30672	-206.76357	914.85242	-29.92584	54.13671	910.67859	-6.76270	-73.42547	901.05286	-55.32836	-237.57089	695.88171	91.20876	-199.29747	401.57489	-7.56600	-173.95541	292.24905	32.95990	-142.78551	58.77346	-18.70717	-167.95403	32.86927	126.98585	-83.57436	46.36034	-49.14791	-200.97102	28.24297	74.97103	80.27763	699.98254	100.51995	41.88334	417.09662	18.85151	16.27449	303.79071	29.14995	5.27256	71.02505	-26.19029	-61.83824	48.14920	-49.22955	38.92302	34.58552	108.64730	66.97756	29.02068	62.28535	
8	0.058	-66.95326	1638.99622	-48.38499	-66.10980	1495.75793	-109.38266	-85.17283	1643.90381	63.69361	-8.01414	1598.21802	-45.21529	-213.15350	1335.72656	-13.66139	53.86687	1348.49561	-1.54925	-88.51713	1337.08716	-51.58192	-6.07106	1249.20605	-69.24066	-381.89929	1270.97168	-0.76787	-488.25122	1275.44312	45.91525	-558.30725	1340.64136	47.32448	-686.91663	1327.07959	104.47321	-700.69324	1329.14917	46.06833	-765.40070	1293.27844	115.85821	-782.58228	1312.38354	48.69112	231.40181	1316.98474	-0.77738	336.85953	1311.48560	35.62859	430.31363	1351.83191	37.41830	554.22076	1346.92725	124.36408	561.73584	1356.76624	55.79676	599.47424	1332.36108	141.27928	630.95221	1361.98572	78.12210	-205.14403	908.07056	117.28639	29.02778	898.54376	134.37469	-206.66342	914.90906	-29.75659	54.09071	910.62250	-6.65617	-73.42547	901.05286	-55.32836	-237.48596	695.89630	91.32101	-199.12685	401.58353	-7.83091	-173.95541	292.24905	32.95990	-142.76833	58.79967	-18.80205	-168.03259	32.84248	126.98251	-83.56965	46.44932	-49.20422	-200.97102	28.24297	74.97103	80.26250	699.91016	100.61681	41.88334	417.09662	18.85151	16.27449	303.79071	29.14995	5.27256	71.02505	-26.19029	-61.89249	48.26294	-49.25895	38.93069	34.54062	108.71981	66.97756	29.02068	62.28535	
