PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\JAVA_M\Men_Action_18.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      2128	41	mm	120.00	1	      2128
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	6.19409	1653.35645	-179.67686	3.46808	1517.94189	-247.85028	-6.20223	1635.70544	-68.87663	68.80897	1619.20496	-188.25700	-152.87527	1347.08826	-174.35994	139.56827	1370.48938	-182.38216	-3.36771	1325.84058	-227.34557	47.99349	1203.39746	-233.58394	-418.93188	1249.23511	-76.35915	-384.27441	1265.47913	-109.42391	-498.37653	1312.81995	-69.06681	-661.54498	1298.77917	-20.64662	-641.10614	1312.95166	49.49184	-717.72150	1320.55090	-4.14863	-713.08881	1332.31274	59.83554	369.16980	1287.11145	-140.40613	405.24063	1266.66858	-111.47615	506.40732	1316.64050	-99.10711	631.05194	1303.80688	4.25515	645.05658	1303.66528	-66.78326	687.70026	1329.60669	16.18122	703.70380	1338.77686	-56.24843	-97.66548	959.10138	-15.75345	92.18785	953.96307	-28.24188	-150.35602	964.94775	-118.51872	113.62125	963.73157	-155.79762	-12.42279	962.48993	-197.55838	-170.06219	711.67230	-77.85584	-130.77451	438.43362	-105.65479	-109.74011	296.91034	-98.83580	-75.03307	50.64072	-167.58859	-16.61397	53.53617	-196.96399	-86.57490	35.74523	-15.25536	-124.97153	29.52332	-57.88718	147.91354	685.94971	-70.44350	122.84351	442.48447	-139.71774	117.18835	310.89890	-126.46989	67.15800	65.25281	-186.69028	93.43108	38.64680	-34.06727	7.24405	49.30285	-205.68311	133.53616	32.96933	-86.24712	
2	0.008	6.39617	1653.34192	-179.75937	3.62652	1517.89282	-247.99731	-5.91850	1635.78870	-69.00716	68.87946	1619.22278	-188.33209	-152.78577	1347.05188	-174.22073	139.56827	1370.48938	-182.38216	-3.30835	1325.79224	-227.40204	47.91885	1203.36853	-233.49448	-418.93188	1249.23511	-76.35915	-384.35907	1265.60864	-109.46367	-498.35425	1312.79333	-69.38327	-661.44128	1298.84949	-20.57899	-641.12585	1313.09021	49.23600	-717.70007	1320.54456	-4.30491	-713.14154	1332.51331	59.72218	369.49969	1287.47095	-140.39862	405.32861	1266.76221	-111.52005	506.31927	1316.70703	-99.17812	631.31171	1304.06946	3.53451	645.27850	1303.14746	-66.61418	687.75934	1329.81189	15.90902	703.62097	1338.90979	-56.31671	-97.40308	959.24792	-15.63694	92.18785	953.96307	-28.24188	-150.35602	964.94775	-118.51872	113.62125	963.73157	-155.79762	-12.43445	962.50214	-197.42250	-170.10762	711.62988	-77.81805	-130.68057	438.34030	-105.72796	-109.38606	296.93240	-98.74875	-75.03307	50.64072	-167.58859	-16.61397	53.53617	-196.96399	-86.28210	35.64028	-15.21386	-125.02316	29.47323	-57.80552	147.91354	685.94971	-70.44350	122.84351	442.48447	-139.71774	117.09003	310.91339	-126.36289	67.15800	65.25281	-186.69028	93.47131	38.57150	-34.15778	7.24405	49.30285	-205.68311	133.60390	33.01949	-86.25968	
3	0.017	6.42701	1653.31580	-179.77081	3.69412	1517.84033	-248.04379	-5.89317	1635.78308	-69.10669	68.92401	1619.18274	-188.31534	-152.78577	1347.05188	-174.22073	139.62079	1370.51721	-182.40962	-3.30835	1325.79224	-227.40204	47.99349	1203.39746	-233.58394	-418.93188	1249.23511	-76.35915	-384.54681	1265.76941	-109.71167	-498.37143	1312.84558	-69.45197	-661.43463	1298.88818	-20.67451	-641.05115	1313.17859	49.03434	-717.47516	1320.92151	-4.59189	-713.28265	1332.70886	59.52152	369.73499	1287.55493	-140.24567	405.48709	1267.04041	-111.57735	506.32104	1316.87561	-99.24801	631.64844	1304.28784	3.40315	645.27850	1303.14746	-66.61418	687.91388	1329.98462	15.88810	703.73224	1339.06689	-56.51892	-97.18170	959.25146	-15.46487	92.32690	953.92358	-28.02355	-150.36018	964.88690	-118.23394	113.90496	963.80292	-155.64958	-12.43445	962.50214	-197.42250	-170.06219	711.67230	-77.85584	-130.59375	438.29520	-105.81927	-109.46539	296.95538	-98.67165	-75.03307	50.64072	-167.58859	-16.61397	53.53617	-196.96399	-86.59047	35.70358	-15.29908	-124.97153	29.52332	-57.88718	148.01688	685.95776	-70.44470	123.02483	442.41772	-139.66113	117.16869	310.98111	-126.31707	67.21563	65.31371	-186.61823	93.43108	38.64680	-34.06727	7.23256	49.29458	-205.74954	133.53616	32.96933	-86.24712	
4	0.025	6.45200	1653.25940	-180.05722	3.77533	1517.86414	-248.14398	-5.77039	1635.79346	-69.13989	69.07005	1619.15332	-188.19089	-152.58966	1346.95544	-174.26967	139.62079	1370.51721	-182.40962	-3.18696	1325.78540	-227.34311	48.15187	1203.37366	-233.40692	-418.83347	1249.29907	-76.38704	-384.54630	1265.83118	-109.80614	-498.35596	1312.97339	-69.48977	-661.40363	1299.20715	-20.85893	-641.25647	1313.21997	48.86343	-717.45612	1321.23254	-4.86374	-713.36212	1332.88025	59.44171	369.74603	1287.63989	-140.37546	405.34375	1267.17188	-111.43596	506.42902	1317.03638	-99.21255	631.63550	1304.36816	3.37304	645.25928	1303.22620	-66.60036	688.06897	1330.15405	15.79558	703.81512	1339.13867	-56.58397	-97.31205	959.19849	-15.49372	92.31401	953.98401	-28.05924	-150.27457	964.88898	-118.08885	114.13081	963.84509	-155.38620	-12.36015	962.33014	-197.30104	-170.03900	711.56586	-77.80165	-130.45602	438.28098	-105.71714	-109.40060	297.01636	-98.64294	-75.02864	50.68808	-167.53543	-16.61397	53.53617	-196.96399	-86.55715	35.63595	-15.27844	-124.97153	29.52332	-57.88718	148.01688	685.95776	-70.44470	123.02483	442.41772	-139.66113	117.09003	310.91339	-126.36289	67.21563	65.31371	-186.61823	93.43108	38.64680	-34.06727	7.24405	49.30285	-205.68311	133.53616	32.96933	-86.24712	
5	0.033	6.49624	1653.24731	-180.22179	3.73536	1517.79492	-248.14357	-5.61253	1635.86255	-69.42094	69.23248	1619.08008	-188.29208	-152.48096	1346.90491	-174.20071	139.62079	1370.51721	-182.40962	-3.18696	1325.78540	-227.34311	48.27438	1203.35693	-233.36493	-419.02271	1249.35181	-76.54158	-384.47891	1265.86841	-109.89231	-498.22818	1313.08325	-69.59255	-661.60730	1299.29236	-21.13717	-640.94635	1313.50928	49.15843	-717.77936	1321.51929	-5.49878	-713.65857	1332.99023	59.14427	369.74603	1287.63989	-140.37546	405.35156	1267.24341	-111.43707	506.42902	1317.03638	-99.21255	631.63550	1304.36816	3.37304	645.25928	1303.22620	-66.60036	688.03192	1330.21606	15.71608	703.81512	1339.13867	-56.58397	-97.18170	959.25146	-15.46487	92.42947	953.82611	-27.92456	-150.08986	964.86462	-117.76897	114.21541	963.81677	-155.37302	-12.22829	962.13965	-197.11418	-169.92940	711.56311	-77.76706	-130.44920	438.33261	-105.62733	-109.38606	296.93240	-98.74875	-75.03307	50.64072	-167.58859	-16.61397	53.53617	-196.96399	-86.31573	35.55281	-15.30916	-124.97153	29.52332	-57.88718	148.01688	685.95776	-70.44470	123.02483	442.41772	-139.66113	117.06618	310.90738	-126.22006	67.20492	65.37230	-186.57758	93.43108	38.64680	-34.06727	7.24405	49.30285	-205.68311	133.60390	33.01949	-86.25968	
6	0.042	6.54371	1653.24500	-180.42078	3.73536	1517.79492	-248.14357	-5.17903	1635.99866	-69.30451	69.31186	1619.08557	-188.44586	-152.42789	1346.78589	-174.20180	139.62079	1370.51721	-182.40962	-2.96503	1325.72986	-227.33583	48.27438	1203.35693	-233.36493	-418.75354	1249.62402	-76.44419	-384.47891	1265.86841	-109.89231	-498.28659	1313.12927	-69.68532	-661.50446	1299.37390	-21.46596	-641.01935	1314.25806	48.99475	-717.78033	1321.80762	-5.66781	-713.71442	1333.19629	58.98895	369.74603	1287.63989	-140.37546	405.46332	1267.20203	-111.40101	506.60330	1317.33484	-99.40878	631.78650	1304.95178	4.37706	645.30829	1303.47314	-66.90793	688.11945	1330.23999	15.61875	703.80566	1339.17444	-56.60282	-97.18170	959.25146	-15.46487	92.44639	953.92566	-27.84096	-149.79550	964.79413	-117.44273	114.21541	963.81677	-155.37302	-12.23486	962.08551	-196.85985	-169.92940	711.56311	-77.76706	-130.44920	438.33261	-105.62733	-109.32127	296.99338	-98.72002	-75.03307	50.64072	-167.58859	-16.49493	53.55319	-196.96118	-86.61670	35.64360	-15.33908	-124.97153	29.52332	-57.88718	148.17549	685.93243	-70.36832	123.10207	442.37271	-139.66106	117.24314	310.96063	-126.28124	67.15800	65.25281	-186.69028	93.43108	38.64680	-34.06727	7.24405	49.30285	-205.68311	133.60390	33.01949	-86.25968	
7	0.050	6.61705	1653.26160	-180.44756	3.75483	1517.72656	-248.21953	-5.16879	1636.08752	-69.40440	69.27653	1619.04724	-188.51422	-152.42789	1346.78589	-174.20180	139.62079	1370.51721	-182.40962	-2.96503	1325.72986	-227.33583	48.42668	1203.29089	-233.29291	-418.77881	1249.67834	-76.60136	-384.47891	1265.86841	-109.89231	-498.19373	1313.14148	-69.80556	-661.18811	1299.48560	-21.61769	-641.11945	1314.21179	48.74465	-717.84290	1322.07898	-5.96349	-713.77582	1333.44702	58.42636	369.74603	1287.63989	-140.37546	405.56335	1267.21411	-111.40437	506.60330	1317.33484	-99.40878	631.86249	1305.01587	4.32767	645.38037	1303.53235	-67.13990	688.11066	1330.60400	15.73514	703.85291	1339.41956	-56.71299	-97.18170	959.25146	-15.46487	92.44639	953.92566	-27.84096	-149.82607	964.89130	-117.37354	114.21541	963.81677	-155.37302	-11.98883	962.19946	-196.78882	-169.92940	711.56311	-77.76706	-130.44920	438.33261	-105.62733	-109.32127	296.99338	-98.72002	-74.93994	50.67620	-167.59192	-16.61397	53.53617	-196.96399	-86.33184	35.69351	-15.22961	-124.97153	29.52332	-57.88718	148.21399	686.02686	-70.19952	123.10207	442.37271	-139.66106	117.24669	310.98700	-126.14016	67.15800	65.25281	-186.69028	93.43108	38.64680	-34.06727	7.24405	49.30285	-205.68311	133.60390	33.01949	-86.25968	
8	0.058	6.61705	1653.26160	-180.44756	3.75483	1517.72656	-248.21953	-5.23686	1636.08252	-69.37000	69.27653	1619.04724	-188.51422	-152.29115	1346.85352	-174.26672	139.72127	1370.52124	-182.33223	-2.87505	1325.78992	-227.37581	48.47091	1203.30884	-233.27197	-418.77881	1249.67834	-76.60136	-384.37585	1265.89587	-109.94501	-498.04410	1313.13098	-69.81734	-661.37714	1299.63721	-21.78737	-641.34821	1314.36548	48.95456	-717.84772	1322.15784	-6.03638	-713.54431	1333.67883	58.33712	369.74603	1287.63989	-140.37546	405.56335	1267.21411	-111.40437	506.60330	1317.33484	-99.40878	631.72253	1305.13721	4.43892	645.38037	1303.53235	-67.13990	688.16528	1330.68896	15.66853	703.86469	1339.47229	-56.67619	-97.18170	959.25146	-15.46487	92.45927	953.86523	-27.80527	-149.73967	964.94531	-117.26158	114.31773	963.85626	-155.36359	-11.99188	962.08881	-196.71686	-169.76790	711.55725	-77.73186	-130.44920	438.33261	-105.62733	-109.26791	296.92896	-98.69945	-74.93994	50.67620	-167.59192	-16.61397	53.53617	-196.96399	-86.52048	35.73021	-15.30045	-124.89017	29.55640	-57.84855	148.21399	686.02686	-70.19952	123.10207	442.37271	-139.66106	117.37498	310.91522	-126.29167	67.15800	65.25281	-186.69028	93.45779	38.69747	-34.09239	7.32713	49.34193	-205.62250	133.53616	32.96933	-86.24712	
