PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Fujima_17.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1115	41	mm	120.00	1	      1115
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-57.33461	1507.65479	-362.98410	-45.08667	1416.45984	-406.34930	-68.61317	1460.52063	-196.43066	10.41147	1494.41907	-321.94952	-180.14844	1241.89404	-320.15164	58.97577	1251.72412	-326.39413	-60.34195	1216.31091	-360.73615	15.46062	1109.83765	-374.36493	-312.08643	1220.42834	-309.94550	-425.39548	1210.96924	-269.80939	-533.34509	1248.19739	-261.51120	-616.79211	1262.86682	-170.92931	-628.08771	1246.61987	-234.29051	-671.65558	1259.61755	-160.13756	-684.64825	1260.32837	-228.74054	205.50696	1203.49268	-300.28467	301.20956	1215.58228	-258.50189	390.55832	1245.62354	-251.68729	500.59296	1252.80676	-160.95572	514.87109	1249.77356	-223.79332	552.19720	1246.84717	-145.49721	570.23291	1254.94568	-209.58920	-181.42284	863.59613	-203.82881	32.72612	868.32098	-172.95117	-166.18768	864.01318	-307.43747	50.90551	871.05554	-300.58810	-36.41613	867.30396	-341.89886	-205.95477	606.53168	-229.45995	-169.66406	393.52536	-301.06302	-155.95653	217.29964	-319.07263	-131.83092	82.31731	-350.74664	-78.05584	39.93841	-405.05551	-96.99174	39.49434	-229.50879	-143.44144	33.52118	-274.32401	86.42591	613.20654	-221.18552	59.06148	378.04572	-315.25305	40.22145	250.46866	-296.95361	22.48301	102.23343	-358.43073	-34.97550	39.44964	-227.43631	-21.13247	53.51832	-400.97589	21.52889	36.74920	-252.53781	
2	0.008	-56.79239	1507.44165	-362.88815	-44.98883	1416.48840	-406.21820	-68.85171	1460.65100	-196.29007	10.49433	1494.41125	-321.85464	-180.20306	1241.84985	-320.19839	58.85548	1251.66638	-326.17380	-60.34195	1216.31091	-360.73615	15.46062	1109.83765	-374.36493	-312.04739	1220.49573	-309.96631	-425.27271	1210.96362	-269.88443	-533.03986	1248.22876	-261.31961	-616.48370	1262.87061	-170.93881	-628.16418	1246.56848	-234.17088	-671.64478	1259.63745	-159.98483	-684.66394	1260.44458	-228.71031	205.54527	1203.40808	-300.29559	301.20956	1215.58228	-258.50189	390.70209	1245.47583	-251.59808	500.58600	1252.72559	-160.88684	515.02197	1249.70007	-223.86047	552.48981	1246.80005	-145.45746	570.36365	1254.78442	-209.48058	-181.34842	863.81549	-203.66174	32.91348	868.38397	-172.90817	-166.06870	864.07086	-307.56418	50.89371	871.00568	-300.68506	-36.41613	867.30396	-341.89886	-206.01491	606.62823	-229.50383	-169.76784	393.61203	-300.83151	-155.99655	217.35742	-318.99756	-131.83092	82.31731	-350.74664	-78.05584	39.93841	-405.05551	-96.99174	39.49434	-229.50879	-143.29726	33.52451	-274.37186	86.47375	613.26898	-221.20503	59.14371	378.13208	-315.49084	40.22145	250.46866	-296.95361	22.48301	102.23343	-358.43073	-34.97550	39.44964	-227.43631	-21.10551	53.55214	-400.91702	21.52889	36.74920	-252.53781	
3	0.017	-56.25913	1507.39539	-362.82562	-44.77310	1416.36975	-406.06729	-68.88107	1460.86938	-196.33585	10.58928	1494.33105	-321.60309	-180.17715	1241.80127	-320.19467	59.13702	1251.59839	-325.99658	-60.34195	1216.31091	-360.73615	15.46062	1109.83765	-374.36493	-312.04739	1220.49573	-309.96631	-425.12521	1210.97827	-269.68280	-533.03986	1248.22876	-261.31961	-616.48370	1262.87061	-170.93881	-628.16418	1246.56848	-234.17088	-671.30347	1259.64050	-159.81212	-685.63861	1260.16357	-228.21588	205.49066	1203.31421	-300.26096	301.20956	1215.58228	-258.50189	391.03595	1245.41199	-251.51120	500.63760	1252.61560	-160.92014	515.40381	1249.58728	-224.01939	552.85632	1246.68811	-145.43268	570.37006	1254.95532	-209.47972	-180.97224	864.11487	-203.32368	32.91348	868.38397	-172.90817	-165.79140	864.09131	-307.66632	50.89371	871.00568	-300.68506	-36.41613	867.30396	-341.89886	-206.01570	606.84686	-229.52946	-169.77000	393.66217	-300.74826	-155.99655	217.35742	-318.99756	-131.80530	82.36780	-350.65018	-78.22065	40.06444	-405.04279	-97.04370	39.43687	-229.53709	-143.22389	33.55743	-274.37064	86.47375	613.26898	-221.20503	59.22959	378.15625	-315.55508	40.30109	250.47325	-296.92630	22.48453	102.15971	-358.35486	-34.97550	39.44964	-227.43631	-21.13247	53.51832	-400.97589	21.55190	36.68374	-252.57259	
4	0.025	-56.13079	1507.34277	-362.66385	-44.50769	1416.29358	-405.88315	-68.98633	1460.87598	-196.22534	10.78639	1494.26184	-321.47586	-180.17833	1241.89185	-320.09988	59.33741	1251.54138	-326.02615	-60.34195	1216.31091	-360.73615	15.46062	1109.83765	-374.36493	-312.04547	1220.43030	-309.85126	-425.02838	1210.97693	-269.65884	-532.82330	1248.11328	-261.14072	-616.38745	1262.44836	-170.75410	-627.81488	1246.57239	-233.90779	-670.97540	1259.64465	-159.83586	-685.52191	1260.24512	-227.99156	205.79523	1203.19238	-300.23965	301.30386	1215.51733	-258.41556	391.11880	1245.35474	-251.58850	500.69763	1252.37329	-161.03894	515.56409	1249.54553	-224.02179	552.85632	1246.68811	-145.43268	570.47778	1254.90894	-209.44243	-180.90900	864.08453	-203.57288	33.16166	868.32751	-172.97098	-165.71912	864.16254	-307.72748	50.99730	870.96112	-300.56900	-36.40165	867.34198	-342.04462	-205.83084	606.75360	-229.41698	-169.63579	393.62006	-300.58560	-156.00276	217.41296	-318.88544	-131.85115	82.35136	-350.51157	-78.22065	40.06444	-405.04279	-97.03037	39.38155	-229.65405	-143.29596	33.57668	-274.37561	86.47375	613.26898	-221.20503	59.22959	378.15625	-315.55508	40.37178	250.35143	-296.96188	22.44305	102.19601	-358.54932	-34.97550	39.44964	-227.43631	-21.22345	53.43909	-400.91284	21.55190	36.68374	-252.57259	
5	0.033	-55.92272	1507.37085	-362.64642	-44.10286	1416.14038	-405.58887	-69.11645	1460.94873	-196.19992	10.93055	1494.24194	-321.36786	-180.11208	1241.86877	-320.04965	59.52051	1251.51721	-326.32925	-60.34195	1216.31091	-360.73615	15.74460	1109.76221	-374.29074	-312.08450	1220.36292	-309.83047	-425.02838	1210.97693	-269.65884	-532.79132	1248.15686	-261.03485	-616.36072	1262.41516	-170.52582	-627.56000	1246.82739	-233.94997	-670.71747	1259.54370	-159.72183	-685.26288	1260.31702	-227.68213	205.94556	1203.01318	-300.12741	301.40680	1215.48071	-258.29404	391.21329	1245.29138	-251.50378	500.69763	1252.37329	-161.03894	515.47162	1249.45227	-223.98584	553.17010	1246.50012	-145.25089	570.66595	1254.61670	-209.45374	-180.70757	864.50293	-203.83878	33.20802	868.27856	-172.96858	-165.51768	864.20343	-307.82718	50.99181	870.97784	-300.67706	-36.38448	867.28314	-342.07785	-205.97064	606.86853	-229.27388	-169.63579	393.62006	-300.58560	-156.06544	217.35583	-318.68008	-131.80530	82.36780	-350.65018	-78.22065	40.06444	-405.04279	-97.04370	39.43687	-229.53709	-143.29596	33.57668	-274.37561	86.48208	613.16602	-221.19070	59.35152	378.02695	-315.51816	40.40066	250.32928	-297.09601	22.48923	102.00502	-358.53067	-34.95558	39.38648	-227.40187	-21.33238	53.43460	-400.96838	21.63020	36.72990	-252.56909	
6	0.042	-55.72138	1507.38464	-362.74017	-43.71138	1416.04175	-405.58887	-69.11645	1460.94873	-196.19992	11.05685	1494.14124	-321.38031	-180.17964	1241.83459	-320.07144	59.52051	1251.51721	-326.32925	-60.16410	1216.27271	-360.64093	15.74460	1109.76221	-374.29074	-311.97171	1220.29504	-309.79050	-424.95056	1210.78662	-269.51752	-532.67896	1248.16663	-260.96225	-616.09290	1262.40002	-170.29411	-627.37329	1246.83276	-233.94220	-670.51624	1259.55872	-159.61385	-684.99615	1260.40088	-227.51698	206.16287	1202.91907	-300.15289	301.76810	1215.36389	-258.35272	391.21329	1245.29138	-251.50378	500.70544	1252.22742	-161.11417	515.95392	1249.31934	-223.98318	553.08728	1246.25732	-145.18871	570.90344	1254.42688	-209.39047	-180.43091	864.38135	-203.71738	33.20802	868.27856	-172.96858	-165.51768	864.20343	-307.82718	51.25737	870.97400	-300.55737	-36.38448	867.28314	-342.07785	-206.13406	607.06879	-229.28026	-169.61101	393.68689	-300.54251	-156.04622	217.38501	-318.59445	-131.84689	82.40569	-350.25137	-78.22065	40.06444	-405.04279	-97.08930	39.38942	-229.53751	-143.29596	33.57668	-274.37561	86.53927	613.13196	-221.14250	59.41086	377.98782	-315.51474	40.68795	250.39114	-297.14502	22.48923	102.00502	-358.53067	-34.97550	39.44964	-227.43631	-21.24475	53.36280	-400.92075	21.67952	36.70790	-252.59224	
7	0.050	-55.55288	1507.35815	-362.73444	-43.32578	1415.93823	-405.57785	-69.42079	1461.25537	-196.23366	11.19705	1494.24158	-321.28543	-179.84074	1241.89673	-320.15311	59.59268	1251.47461	-326.32169	-60.16410	1216.27271	-360.64093	15.81856	1109.74536	-374.33380	-311.97217	1220.25891	-309.64719	-424.85849	1210.68799	-269.58701	-532.67896	1248.16663	-260.96225	-615.94373	1262.36670	-169.85002	-627.35107	1246.91150	-233.69009	-670.51019	1259.49561	-159.59648	-684.84619	1260.40356	-227.26173	206.16287	1202.91907	-300.15289	301.75745	1215.27100	-258.37866	391.21329	1245.29138	-251.50378	501.01849	1252.07532	-160.68860	515.93622	1249.14246	-223.90387	552.96082	1245.92310	-145.18492	570.85352	1254.27161	-209.43329	-180.50188	864.49377	-203.98439	33.27161	868.25629	-172.90913	-165.51768	864.20343	-307.82718	51.25737	870.97400	-300.55737	-36.38448	867.28314	-342.07785	-206.15372	607.11932	-229.08826	-169.65826	393.67883	-300.43906	-156.04622	217.38501	-318.59445	-131.84689	82.40569	-350.25137	-78.22065	40.06444	-405.04279	-96.99174	39.49434	-229.50879	-143.28835	33.56130	-274.30240	86.65906	613.11969	-221.18118	59.41086	377.98782	-315.51474	40.68795	250.39114	-297.14502	22.48923	102.00502	-358.53067	-34.97550	39.44964	-227.43631	-21.24475	53.36280	-400.92075	21.67952	36.70790	-252.59224	
8	0.058	-55.26606	1507.33252	-362.90085	-42.92759	1415.87537	-405.47144	-69.67689	1461.33508	-196.42867	11.23184	1494.31189	-321.21942	-179.76137	1241.92529	-320.12173	59.62791	1251.53357	-326.31677	-60.03789	1216.42615	-360.46262	15.91756	1109.77246	-374.37177	-311.86603	1220.19568	-309.48825	-424.85849	1210.68799	-269.58701	-532.67896	1248.16663	-260.96225	-615.93787	1262.28503	-169.78609	-627.18634	1246.69373	-233.34869	-670.37793	1259.34961	-159.46631	-684.65796	1260.21460	-226.96835	206.28853	1202.89343	-300.10120	301.75745	1215.27100	-258.37866	391.21329	1245.29138	-251.50378	500.94443	1251.70898	-160.77144	515.94189	1248.84473	-223.73721	553.14301	1245.28503	-145.18672	570.99182	1254.12842	-209.30287	-180.49547	864.57965	-204.15788	33.27754	868.18945	-172.98471	-165.30769	864.33350	-308.15396	51.40209	870.97516	-300.46143	-36.24500	867.17230	-342.06635	-206.14449	607.14410	-228.97978	-169.65826	393.67883	-300.43906	-156.04622	217.38501	-318.59445	-131.84689	82.40569	-350.25137	-78.22065	40.06444	-405.04279	-96.95061	39.39208	-229.46112	-143.21626	33.54205	-274.29739	86.61123	613.05719	-221.16167	59.49076	377.92139	-315.68054	40.68795	250.39114	-297.14502	22.52694	101.92996	-358.49445	-34.97550	39.44964	-227.43631	-21.24475	53.36280	-400.92075	21.70252	36.64244	-252.62700	
