PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Fujima_2.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	       996	41	mm	120.00	1	       996
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-21.14385	1502.57825	-349.80737	-17.48507	1406.99902	-384.54865	-7.61073	1472.05957	-178.39076	50.47311	1491.99023	-316.65637	-136.83975	1247.81836	-278.76974	103.38134	1257.59900	-306.50711	-22.53511	1220.25757	-329.90033	57.61283	1112.44800	-348.89532	-266.81616	1230.18323	-252.05511	-374.20471	1221.70618	-199.84024	-479.82074	1260.46460	-180.29460	-553.42761	1285.73486	-82.27263	-570.42847	1260.85278	-141.39485	-607.28400	1283.92676	-67.05843	-626.79865	1274.06726	-133.02446	246.94084	1216.48938	-281.85440	341.12738	1236.46399	-237.72781	429.22665	1271.44543	-233.86273	537.80066	1300.11646	-143.68869	551.77472	1283.66846	-204.61026	592.36365	1299.58740	-130.84590	605.95770	1292.97534	-196.29160	-126.41460	862.28528	-166.32790	90.52291	871.98254	-157.24475	-121.01926	862.57471	-271.89508	96.06788	870.74969	-285.70950	5.64465	866.20447	-318.48062	-153.10413	616.77319	-180.63858	-121.22939	387.43817	-251.35979	-118.79839	225.77100	-262.70450	-99.12485	84.23193	-291.38788	-46.00833	37.31830	-349.35300	-67.19569	39.24516	-174.04240	-113.26498	35.06460	-220.28406	143.93652	623.61340	-200.96043	110.48084	386.03726	-278.42261	95.81744	261.04068	-254.22081	78.35176	102.72246	-309.68033	35.97316	39.03104	-176.90511	30.56362	52.56998	-351.05502	88.45670	37.02011	-207.85992	
2	0.008	-20.82356	1502.61194	-349.60840	-17.26480	1407.06580	-384.60730	-7.42575	1472.03101	-178.00435	50.47311	1491.99023	-316.65637	-136.88203	1247.87854	-278.67166	103.47032	1257.58459	-306.51587	-22.56420	1220.15002	-329.77658	57.53403	1112.47046	-348.77582	-266.80353	1230.31006	-251.85153	-374.20471	1221.70618	-199.84024	-479.82074	1260.46460	-180.29460	-553.35229	1285.74939	-82.20547	-570.47150	1260.96643	-141.40076	-607.15179	1284.09448	-66.91511	-626.80255	1274.13330	-133.04964	246.93977	1216.56201	-281.79034	341.40137	1236.36353	-237.41173	429.22665	1271.44543	-233.86273	537.64093	1300.10913	-143.44717	551.98224	1283.57239	-204.43437	592.24860	1299.48450	-130.90900	605.92767	1292.87537	-196.24164	-126.41460	862.28528	-166.32790	90.52291	871.98254	-157.24475	-121.20869	862.50934	-271.63901	96.22242	870.94843	-285.71924	5.71557	866.26703	-318.35950	-153.10413	616.77319	-180.63858	-121.22428	387.49036	-251.31258	-118.79839	225.77100	-262.70450	-99.43063	84.20496	-291.88321	-45.95502	37.37918	-349.37006	-67.07717	39.29599	-174.06204	-113.19888	35.07368	-220.39384	143.93652	623.61340	-200.96043	110.48084	386.03726	-278.42261	95.81744	261.04068	-254.22081	78.35176	102.72246	-309.68033	36.05626	38.98619	-176.91096	30.50987	52.53688	-350.96887	88.30766	37.12858	-207.96204	
3	0.017	-20.83339	1502.71936	-349.34912	-17.18958	1407.19800	-384.47507	-7.56858	1471.91296	-177.95718	50.76855	1492.07800	-316.57040	-136.88203	1247.87854	-278.67166	103.44829	1257.51733	-306.44522	-22.57458	1220.31641	-329.84091	57.53403	1112.47046	-348.77582	-266.80353	1230.31006	-251.85153	-374.25882	1221.75098	-199.62744	-479.82074	1260.46460	-180.29460	-553.39648	1285.91638	-82.16812	-570.47150	1260.96643	-141.40076	-607.27454	1284.15405	-66.80895	-626.80255	1274.13330	-133.04964	246.96069	1216.64661	-281.58646	341.36746	1236.39734	-237.30936	429.22665	1271.44543	-233.86273	537.56775	1299.97180	-143.34955	552.10248	1283.41785	-204.35504	592.08771	1299.24121	-130.77611	605.61658	1292.63196	-196.03862	-126.40170	862.34863	-166.26556	90.34090	871.97308	-156.83090	-121.23680	862.60852	-271.50888	96.37676	870.84045	-285.42365	5.75473	866.23840	-318.19699	-153.08902	616.74097	-180.55280	-121.22428	387.49036	-251.31258	-118.79839	225.77100	-262.70450	-99.44975	84.25127	-291.81439	-45.95502	37.37918	-349.37006	-67.31542	39.19116	-174.06438	-113.31706	35.19001	-220.37198	143.85538	623.52441	-200.94563	110.45328	386.11273	-278.46866	95.81744	261.04068	-254.22081	78.36098	102.65656	-309.72736	36.05626	38.98619	-176.91096	30.52487	52.59787	-351.24765	88.34713	37.09046	-207.90849	
4	0.025	-20.70327	1502.63098	-349.31818	-16.79221	1407.36072	-384.36569	-7.42737	1471.87500	-177.73695	51.12033	1492.03943	-316.18207	-136.80544	1247.95154	-278.55948	103.49583	1257.44092	-306.37332	-22.45088	1220.17346	-329.80469	57.60818	1112.48865	-348.62842	-266.78751	1230.33777	-251.71088	-374.25882	1221.75098	-199.62744	-479.82074	1260.46460	-180.29460	-553.24701	1285.91052	-82.13327	-570.47150	1260.96643	-141.40076	-607.27454	1284.15405	-66.80895	-626.80792	1274.03882	-132.89163	246.97491	1216.50427	-281.63074	341.49985	1236.42358	-237.23872	429.19867	1271.18005	-233.46680	537.48090	1299.47571	-143.22101	552.16052	1283.56946	-204.72023	592.24384	1298.62085	-130.26724	605.70361	1292.31201	-195.60547	-126.38110	862.36035	-166.12361	90.34090	871.97308	-156.83090	-121.23134	862.67114	-271.50473	96.37676	870.84045	-285.42365	5.67065	866.17682	-318.12338	-153.01321	616.68805	-180.47929	-121.30682	387.58658	-251.16954	-118.76871	225.71016	-262.77771	-99.37926	84.26013	-291.80301	-45.95502	37.37918	-349.37006	-67.19569	39.24516	-174.04240	-113.22672	35.08725	-220.36459	143.73125	623.51221	-200.94182	110.40127	386.01956	-278.52621	95.81744	261.04068	-254.22081	78.36098	102.65656	-309.72736	36.05626	38.98619	-176.91096	30.66318	52.60233	-351.05664	88.40570	37.05958	-207.87122	
5	0.033	-20.82531	1502.52942	-348.59671	-16.68696	1407.45117	-384.29739	-7.44445	1472.09375	-177.54207	51.14551	1492.06677	-315.88113	-136.78516	1247.95129	-278.59232	103.65231	1257.33582	-306.09225	-22.41511	1220.09741	-329.77713	57.78343	1112.49487	-348.42654	-266.75134	1230.30286	-251.49898	-374.20279	1221.80725	-199.57532	-479.82074	1260.46460	-180.29460	-553.16852	1285.87451	-82.09126	-570.45099	1261.06079	-141.24135	-607.27454	1284.15405	-66.80895	-626.80988	1274.18567	-133.02365	247.27698	1216.47559	-281.54239	341.49985	1236.42358	-237.23872	429.48581	1270.99060	-233.10500	537.55383	1299.41089	-143.06401	552.16052	1283.56946	-204.72023	592.17236	1298.39355	-130.37791	605.66119	1292.03284	-195.33746	-126.38110	862.36035	-166.12361	90.40524	872.00354	-156.71468	-121.20097	862.79474	-271.54794	96.22826	870.68170	-285.11868	5.67065	866.17682	-318.12338	-153.07785	616.64838	-180.42548	-121.30682	387.58658	-251.16954	-118.76871	225.71016	-262.77771	-99.43063	84.20496	-291.88321	-45.95502	37.37918	-349.37006	-67.07717	39.29599	-174.06204	-113.14939	35.00859	-220.37149	143.73125	623.51221	-200.94182	110.42627	385.95392	-278.55237	95.81744	261.04068	-254.22081	78.36098	102.65656	-309.72736	36.05626	38.98619	-176.91096	30.68187	52.68330	-351.14285	88.40570	37.05958	-207.87122	
6	0.042	-20.55495	1502.47595	-348.47205	-16.57296	1407.59753	-384.23410	-7.59715	1471.95288	-177.38145	51.31274	1492.04236	-315.74380	-136.85934	1247.93799	-278.52649	103.75821	1257.35461	-306.10907	-22.46085	1220.08801	-329.72473	57.96097	1112.49817	-348.29260	-266.58313	1230.32251	-251.34601	-374.20279	1221.80725	-199.57532	-479.82074	1260.46460	-180.29460	-553.20251	1285.75000	-82.03675	-570.45099	1261.06079	-141.24135	-607.27454	1284.15405	-66.80895	-626.90149	1274.20044	-133.05638	247.10228	1216.41638	-281.28323	341.62927	1236.37085	-237.19722	429.48581	1270.99060	-233.10500	537.81195	1299.31616	-142.69167	551.95782	1283.10864	-204.68414	592.30463	1298.25366	-130.42027	605.57117	1291.87659	-195.25140	-126.38110	862.36035	-166.12361	90.22012	871.92395	-156.46475	-121.30780	862.73901	-271.50021	96.21741	870.86420	-285.13318	5.50177	866.19531	-318.00079	-153.17570	616.74170	-180.38086	-121.30682	387.58658	-251.16954	-118.64915	225.67111	-262.69614	-99.44975	84.25127	-291.81439	-45.95502	37.37918	-349.37006	-67.19569	39.24516	-174.04240	-113.23538	35.00401	-220.38350	143.73125	623.51221	-200.94182	110.45390	386.07120	-278.57150	95.81744	261.04068	-254.22081	78.35176	102.72246	-309.68033	36.05626	38.98619	-176.91096	30.65943	52.56250	-351.11905	88.45670	37.02011	-207.85992	
7	0.050	-20.49791	1502.48767	-348.41321	-16.38296	1407.56104	-384.02139	-7.74655	1471.85315	-177.26492	51.48477	1492.12439	-315.46710	-136.85695	1247.98804	-278.51309	103.89320	1257.40332	-306.01086	-22.43546	1220.17822	-329.76151	57.96097	1112.49817	-348.29260	-266.32831	1230.41235	-251.15198	-374.20279	1221.80725	-199.57532	-479.93994	1260.44470	-180.23244	-553.38318	1285.82092	-81.90083	-570.45099	1261.06079	-141.24135	-607.19135	1284.19177	-66.55970	-626.70398	1274.31274	-132.72231	247.09357	1216.34619	-281.14664	341.60907	1236.22070	-237.10562	429.34247	1270.91492	-233.02936	537.72485	1299.13916	-142.63623	551.92786	1282.59802	-203.96199	592.45587	1298.10266	-130.13857	605.81555	1292.05872	-195.76604	-126.38110	862.36035	-166.12361	90.22012	871.92395	-156.46475	-121.29984	862.81476	-271.37225	96.33747	870.93408	-285.02264	5.50177	866.19531	-318.00079	-153.17570	616.74170	-180.38086	-121.30466	387.53503	-251.13356	-118.64915	225.67111	-262.69614	-99.44975	84.25127	-291.81439	-45.95502	37.37918	-349.37006	-67.19569	39.24516	-174.04240	-113.23974	35.11135	-220.37888	143.59775	623.53223	-200.88658	110.41237	386.05154	-278.65338	95.81744	261.04068	-254.22081	78.36098	102.65656	-309.72736	36.12956	39.00383	-176.87148	30.68949	52.63389	-351.11996	88.45670	37.02011	-207.85992	
8	0.058	-20.33443	1502.50879	-348.11230	-16.08405	1407.58948	-383.74438	-7.79349	1471.78198	-177.18204	51.59560	1492.15503	-315.32321	-136.65938	1247.95068	-278.45898	103.89320	1257.40332	-306.01086	-22.37251	1220.15332	-329.43439	57.96097	1112.49817	-348.29260	-266.32831	1230.41235	-251.15198	-374.20279	1221.80725	-199.57532	-479.93994	1260.44470	-180.23244	-553.36670	1285.68481	-81.76754	-570.45099	1261.06079	-141.24135	-607.22253	1284.10986	-66.45531	-626.70398	1274.31274	-132.72231	247.13260	1216.08582	-280.99692	341.77902	1235.98889	-237.12303	429.35178	1270.78931	-232.76714	537.85480	1299.07251	-142.65773	552.16217	1282.19189	-203.72192	592.44214	1297.74561	-129.86084	606.21429	1291.58728	-195.26877	-126.36829	862.37238	-165.98764	90.22012	871.92395	-156.46475	-121.40600	862.75647	-271.32614	96.32285	870.81494	-284.86429	5.40629	866.15680	-317.57315	-153.22508	616.71625	-180.31789	-121.35317	387.51340	-251.01393	-118.64915	225.67111	-262.69614	-99.44975	84.25127	-291.81439	-45.95502	37.37918	-349.37006	-67.19569	39.24516	-174.04240	-113.14939	35.00859	-220.37149	143.58304	623.46362	-200.82446	110.40189	385.97800	-278.62906	95.81744	261.04068	-254.22081	78.45050	102.80069	-309.68677	36.18988	38.97637	-176.83524	30.65943	52.56250	-351.11905	88.45670	37.02011	-207.85992	
