PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Kikuri\Kikuri_4.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1025	41	mm	120.00	1	      1025
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	88.93034	1514.69702	-374.09753	94.34450	1419.74609	-404.33612	71.26812	1506.47449	-212.03641	154.53006	1505.49805	-332.51880	-59.03542	1267.74133	-309.28519	207.07115	1257.60034	-321.72333	75.36598	1268.79089	-373.32779	153.58626	1211.72534	-371.14285	-190.73344	1253.44348	-311.20551	-303.14078	1250.67627	-262.58591	-354.33990	1344.84253	-257.61819	-479.02991	1358.31604	-186.11684	-488.06711	1357.27161	-251.93227	-535.85028	1356.48108	-171.56372	-552.39111	1351.24695	-248.98755	343.89474	1221.55371	-295.64090	461.25595	1260.76282	-255.48537	539.89764	1294.59546	-249.03464	618.54480	1355.40735	-169.53413	636.13269	1324.75867	-224.86787	670.48334	1348.27466	-150.92891	694.97589	1348.34473	-209.65488	-47.80186	888.83496	-221.40523	170.88831	893.44653	-204.22702	-48.47156	898.06976	-315.59827	163.79668	916.32135	-337.08966	72.14736	915.45325	-367.15897	-78.41476	618.25909	-252.87698	-50.33333	412.04370	-298.19638	1.78220	292.82108	-289.30414	-2.19296	50.50177	-382.95627	46.92394	45.40174	-428.80331	32.72897	37.00508	-233.39244	-15.09470	35.87759	-265.24963	203.77328	592.42859	-244.53549	199.53717	407.57104	-345.95181	132.27713	276.66293	-315.13312	137.84958	68.86610	-398.49524	108.22626	34.74836	-238.68118	90.03992	37.82943	-431.13712	159.90689	33.32913	-296.09424	
2	0.008	88.79151	1515.03308	-373.34879	93.92771	1420.01135	-404.01938	71.68021	1506.26428	-211.34988	154.50916	1505.59851	-331.93185	-58.93210	1267.80334	-309.23767	207.37991	1257.68213	-321.18579	75.55641	1268.70898	-373.31329	154.05673	1211.74011	-371.06628	-190.48250	1253.37720	-311.18286	-303.04907	1250.72888	-262.37631	-354.20911	1344.95520	-257.61398	-478.80753	1358.85693	-185.78767	-487.83414	1357.32703	-251.77377	-535.60944	1356.69910	-171.25241	-552.25214	1351.74219	-248.89226	344.22629	1221.54529	-295.42072	461.37894	1260.69250	-255.25809	539.98285	1294.51611	-248.74443	618.75049	1355.40869	-169.26389	636.03210	1324.83765	-224.62921	670.35718	1348.19922	-150.45416	694.87775	1348.22595	-209.45601	-47.68279	888.95551	-221.21385	171.10944	893.60022	-203.73875	-48.33382	898.06366	-315.22751	163.88359	916.25092	-337.07275	72.33080	915.45319	-366.58875	-78.35435	618.15784	-252.82924	-50.34686	412.10782	-298.07495	1.74255	292.69400	-289.47305	-2.19296	50.50177	-382.95627	46.92257	45.49655	-428.79730	32.78137	36.98263	-233.26132	-15.20084	35.86823	-265.32892	203.93436	592.37341	-244.48184	199.63077	407.58755	-345.94150	132.27713	276.66293	-315.13312	137.93924	68.92196	-398.50418	108.36168	34.75776	-238.63686	90.06956	37.89980	-431.13757	159.93799	33.27837	-295.92459	
3	0.017	88.22329	1515.27734	-372.81506	93.66756	1420.73962	-403.69714	72.08499	1505.97144	-210.61526	154.34276	1505.64307	-331.66519	-58.59921	1267.88062	-309.22299	207.53207	1257.60791	-321.08041	75.66042	1268.78040	-373.06619	153.93018	1211.75903	-370.89948	-190.27838	1253.32141	-310.86618	-302.96777	1250.99060	-261.92471	-353.97745	1345.13867	-257.53143	-478.64590	1359.05127	-185.90524	-487.67578	1357.55469	-251.30759	-535.30591	1356.89160	-171.07809	-551.93549	1351.65955	-249.04808	344.03668	1221.29468	-294.57605	461.37277	1260.62939	-255.23810	540.06213	1294.30310	-248.22211	618.98615	1355.29089	-168.71037	636.15985	1324.80786	-224.23085	670.36621	1348.25195	-150.21637	695.13116	1348.13000	-209.22533	-47.68279	888.95551	-221.21385	171.14133	893.56683	-203.62898	-48.21894	898.09277	-314.70081	164.03726	916.24127	-336.99173	72.39407	915.44458	-366.52090	-78.37814	618.18848	-252.72060	-50.35900	412.16989	-297.97171	1.88416	292.73083	-289.28091	-2.08657	50.55526	-382.91611	46.87852	45.45013	-428.79501	32.78137	36.98263	-233.26132	-15.20084	35.86823	-265.32892	203.97571	592.48743	-244.04742	199.79945	407.67365	-345.92133	132.27713	276.66293	-315.13312	137.89072	68.83404	-398.60751	108.36168	34.75776	-238.63686	90.02031	37.99863	-431.09525	159.93799	33.27837	-295.92459	
4	0.025	88.11108	1515.49585	-372.05417	93.29117	1420.90466	-403.09531	72.56916	1505.86780	-209.66479	153.99316	1505.71057	-331.04459	-58.42736	1267.75610	-309.00125	207.51546	1257.49890	-320.94205	75.76153	1268.74243	-373.05988	154.11998	1211.77563	-370.66830	-190.28198	1253.35828	-310.78787	-302.91003	1250.96277	-261.65945	-353.89166	1345.28113	-257.55533	-478.05139	1359.35059	-185.48439	-487.39429	1357.74524	-251.46054	-534.91492	1357.21960	-170.91158	-551.66266	1351.85791	-248.57523	344.27829	1221.29761	-294.79568	461.47534	1260.71753	-255.17979	540.18091	1294.30652	-247.84079	619.03564	1355.16260	-168.26848	636.56812	1324.50488	-223.50343	670.43341	1348.08374	-150.04326	695.08014	1347.99377	-208.51527	-47.51902	888.91101	-220.98320	171.14133	893.56683	-203.62898	-48.21894	898.09277	-314.70081	164.13905	916.11963	-336.76862	72.65104	915.48346	-366.53485	-78.39597	618.13721	-252.61357	-50.41218	412.30710	-297.72656	1.77791	292.80972	-289.21942	-2.17639	50.57769	-382.90192	46.92257	45.49655	-428.79730	32.78137	36.98263	-233.26132	-15.20084	35.86823	-265.32892	203.96019	592.46014	-243.94020	199.85182	407.64841	-345.84857	132.41060	276.77646	-314.98639	137.87090	68.96355	-398.48932	108.06168	34.76339	-238.46289	90.02031	37.99863	-431.09525	159.88646	33.25281	-296.04385	
5	0.033	87.55381	1515.70435	-371.29956	92.70972	1421.29114	-402.62357	72.83458	1505.52563	-209.02155	153.90443	1505.95300	-330.60513	-58.38705	1267.81042	-308.99463	207.59499	1257.50024	-320.90585	75.75444	1268.77271	-372.90329	154.29010	1211.79089	-370.76993	-190.23915	1253.42627	-310.78937	-302.60675	1251.15979	-261.56033	-353.78940	1345.34814	-257.36215	-477.76447	1359.58423	-185.36562	-487.24933	1358.16345	-251.00403	-534.66809	1357.45142	-170.79390	-551.29547	1352.03894	-248.35963	344.27829	1221.29761	-294.79568	461.33902	1260.46179	-254.38797	540.32220	1294.28015	-247.62166	619.18683	1355.01819	-167.91875	636.59106	1324.42310	-223.54604	670.56934	1347.98376	-149.79807	695.05774	1347.89636	-208.18954	-47.63467	889.09180	-220.37341	171.19676	893.48920	-203.38655	-48.12346	898.16608	-314.70514	164.13905	916.11963	-336.76862	72.90672	915.47723	-366.38211	-78.39597	618.13721	-252.61357	-50.12551	412.39496	-297.48117	2.01882	292.80927	-289.24155	-2.06662	50.54815	-382.81015	46.92257	45.49655	-428.79730	32.72204	37.02430	-233.31419	-15.20084	35.86823	-265.32892	204.10966	592.39447	-243.91402	199.96062	407.68472	-345.67905	132.41060	276.77646	-314.98639	137.93924	68.92196	-398.50418	108.36168	34.75776	-238.63686	90.02031	37.99863	-431.09525	159.93799	33.27837	-295.92459	
6	0.042	87.15050	1516.05066	-370.27505	92.24209	1421.50671	-402.38940	73.18420	1505.20349	-208.04785	153.12787	1505.98987	-330.30005	-58.03670	1267.73560	-308.80759	207.67357	1257.48010	-320.88400	75.74094	1268.68286	-372.80057	154.46542	1211.76611	-370.48862	-190.07997	1253.39880	-310.53659	-302.52542	1251.31653	-261.37430	-353.38031	1345.51184	-257.14447	-477.86914	1359.38562	-185.22511	-486.58823	1358.52979	-251.05556	-534.21295	1357.64404	-170.53789	-551.00323	1352.24280	-248.14597	344.71463	1221.27576	-294.36896	461.54303	1260.43469	-253.94258	540.54364	1294.11487	-247.27513	619.23096	1355.02087	-167.65079	636.47791	1324.44324	-223.37338	670.76984	1347.78052	-149.47592	695.25818	1347.99585	-207.82864	-47.26318	889.02966	-219.77524	171.29309	893.42828	-203.29730	-48.12346	898.16608	-314.70514	164.29803	916.07581	-336.54532	73.35999	915.39008	-366.16330	-78.32026	618.22601	-252.39778	-50.11258	412.43469	-297.34335	1.90175	292.92667	-288.97772	-2.17639	50.57769	-382.90192	46.92257	45.49655	-428.79730	32.72204	37.02430	-233.31419	-15.27642	35.91828	-265.29797	204.19968	592.43195	-243.80368	199.96062	407.68472	-345.67905	132.41060	276.77646	-314.98639	137.93924	68.92196	-398.50418	108.36168	34.75776	-238.63686	90.06956	37.89980	-431.13757	159.93799	33.27837	-295.92459	
7	0.050	86.96899	1516.54456	-369.66635	91.56625	1421.83398	-401.95590	73.46458	1505.24109	-207.36913	152.94504	1506.26855	-330.02411	-57.78276	1267.88440	-308.49261	207.97249	1257.44006	-320.73303	75.99065	1268.67419	-372.70651	154.59190	1211.75342	-370.45020	-189.96815	1253.38745	-310.38806	-302.42148	1251.06848	-261.46585	-353.27283	1345.58972	-256.99350	-477.69229	1359.65637	-184.91733	-486.28702	1358.80505	-250.92320	-533.88672	1357.93481	-170.19865	-551.07129	1352.63086	-247.44569	344.69669	1221.13965	-294.32373	461.67761	1260.48584	-253.71709	540.69434	1294.10571	-247.06905	619.45294	1354.90491	-167.18266	636.48871	1324.44275	-223.14293	670.88647	1347.69727	-148.99457	695.37781	1347.83850	-207.39214	-47.20756	889.09869	-219.76218	171.54387	893.42334	-203.24600	-48.03643	898.07001	-314.60986	164.50255	916.07745	-336.24295	73.34914	915.33093	-365.99658	-78.31227	618.34503	-252.20143	-50.11258	412.43469	-297.34335	2.09134	292.94141	-288.88321	-2.04098	50.59766	-382.90881	46.92257	45.49655	-428.79730	32.72204	37.02430	-233.31419	-15.18956	35.89030	-265.27792	204.25229	592.38385	-243.74834	200.04103	407.72021	-345.67642	132.55165	276.83344	-314.76657	137.93924	68.92196	-398.50418	108.06168	34.76339	-238.46289	90.10674	37.85168	-431.25851	159.93799	33.27837	-295.92459	
8	0.058	86.65916	1516.67163	-369.17245	91.21844	1422.10693	-401.41132	73.86101	1505.24121	-206.82495	152.76984	1506.30542	-329.65149	-57.46093	1267.99207	-308.18155	208.01862	1257.39246	-320.68127	75.97879	1268.67761	-372.58612	154.68651	1211.68079	-370.16199	-189.60358	1253.32117	-310.08301	-302.44965	1251.25330	-261.42249	-353.19009	1345.77588	-256.85229	-477.42593	1359.85767	-184.92410	-486.20306	1359.09644	-250.80263	-533.73621	1358.11523	-170.01254	-550.97003	1352.62915	-247.83888	344.53305	1221.09509	-293.72867	461.84604	1260.47437	-253.58217	540.69434	1294.10571	-247.06905	619.38342	1354.82495	-167.01244	636.46271	1324.38062	-222.68434	671.31689	1347.74084	-148.56688	695.60583	1347.66528	-207.13872	-46.89256	889.05133	-219.40004	171.78319	893.44373	-203.09882	-47.93022	898.14301	-314.27658	164.62685	916.05286	-336.18958	73.44371	915.36444	-365.94434	-78.39682	618.27216	-252.02333	-50.11258	412.43469	-297.34335	2.19759	292.86255	-288.94470	-2.04098	50.59766	-382.90881	46.92257	45.49655	-428.79730	32.72204	37.02430	-233.31419	-15.26349	35.94546	-265.25720	204.32027	592.35950	-243.69522	200.12051	407.71652	-345.63065	132.55165	276.83344	-314.76657	137.87090	68.96355	-398.48932	107.94559	34.75324	-238.46133	90.13506	37.95071	-431.20016	159.88646	33.25281	-296.04385	
