PathFileType	4	(X/Y/Z)	F:\äwçZä÷åW\2010-2011å§ãÜä÷åW\ââïëÉfÅ[É^\20100319Mocapï‚ê≥å„\1_Fujima\Mtanmar\Action_10.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
120.00	120.00	      1637	41	mm	120.00	1	      1637
Frame#	Time	Top.head			Back.Head			Front.Head			L.Head_Offset			R.Shoulder			L.Shoulder			Neck			L.BackOffset			R.Bicep			R.Elbow			R.ForeArm			R.Radius			R.Ulna			R.Thumb			R.Pinky			L.Bicep			L.Elbow			L.Forearm			L.Radius			L.Ulna			L.Thumb			L.Pinky			R.ASIS			L.ASIS			R.PSIS			L.PSIS			V.Sacral			R.Thigh			R.Knee			R.Shank			R.Ankle			R.Heel			R.Toe			R.Foot			L.Thigh			L.Knee			L.Shank			L.Ankle			L.Toe			L.Heel			L.Foot			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X13	Y13	Z13	X14	Y14	Z14	X15	Y15	Z15	X16	Y16	Z16	X17	Y17	Z17	X18	Y18	Z18	X19	Y19	Z19	X20	Y20	Z20	X21	Y21	Z21	X22	Y22	Z22	X23	Y23	Z23	X24	Y24	Z24	X25	Y25	Z25	X26	Y26	Z26	X27	Y27	Z27	X28	Y28	Z28	X29	Y29	Z29	X30	Y30	Z30	X31	Y31	Z31	X32	Y32	Z32	X33	Y33	Z33	X34	Y34	Z34	X35	Y35	Z35	X36	Y36	Z36	X37	Y37	Z37	X38	Y38	Z38	X39	Y39	Z39	X40	Y40	Z40	X41	Y41	Z41	

1	0.000	-72.33609	1545.90259	-101.36572	-47.21797	1468.82739	-158.94505	-92.51105	1502.38379	64.65192	-6.11987	1552.13513	-62.97758	-182.24861	1339.67334	-128.71802	67.48187	1340.90527	-117.38690	-61.61600	1289.46729	-182.05380	16.30350	1151.94666	-198.93172	-344.95883	1280.56799	-149.00809	-449.35361	1210.56335	-129.75069	-551.19312	1234.87085	-158.95290	-687.66528	1270.61401	-101.92941	-678.39276	1266.53784	-169.40219	-737.83698	1287.87000	-105.18632	-732.47247	1282.84326	-177.83099	182.41196	1265.41528	-144.98286	332.96265	1210.80713	-80.81902	439.34448	1235.66089	-110.76717	565.42529	1256.80359	-33.43512	567.60651	1227.30188	-98.20981	614.71350	1275.33850	-45.95764	628.88013	1255.75745	-105.18626	-187.02289	936.11591	25.71145	89.49812	946.66772	34.19172	-186.71951	926.27032	-87.28986	82.70272	946.25671	-93.49512	-42.03586	927.51959	-156.84792	-221.34973	673.12793	27.20749	-187.29303	398.50195	-46.32733	-160.70465	232.27667	-45.55508	-141.43817	63.31110	-108.76081	-87.98170	49.45544	-157.90352	-140.58676	32.22694	20.77419	-177.32747	28.20183	-16.11402	138.41156	660.24219	19.84087	115.91687	417.54355	-49.42883	83.07105	262.65332	-40.53547	64.16607	65.70512	-122.75706	85.03654	35.82025	26.26319	13.60183	44.07074	-149.21437	117.82819	32.03700	-22.35404	
2	0.008	-72.32509	1546.00244	-101.34016	-47.19004	1468.77283	-158.92799	-92.39090	1502.33154	64.67169	-6.03515	1552.18823	-62.89966	-182.24861	1339.67334	-128.71802	67.54395	1340.90283	-117.27135	-61.61239	1289.44238	-181.95032	16.30350	1151.94666	-198.93172	-344.97266	1280.63196	-148.92329	-449.35361	1210.56335	-129.75069	-551.19312	1234.87085	-158.95290	-687.66693	1270.57263	-101.76373	-678.37012	1266.58618	-169.26331	-737.85187	1287.93530	-105.11856	-732.27509	1282.92639	-177.71191	182.41196	1265.41528	-144.98286	332.96265	1210.80713	-80.81902	439.34323	1235.55298	-110.80380	565.42639	1256.72168	-33.66612	567.62292	1227.11133	-98.12701	614.81073	1275.13428	-45.79163	629.05280	1255.57886	-105.16489	-187.22055	936.15405	25.27179	89.49812	946.66772	34.19172	-186.87679	926.23743	-87.13293	82.70272	946.25671	-93.49512	-42.03586	927.51959	-156.84792	-221.37106	673.16223	27.30313	-187.29303	398.50195	-46.32733	-160.71678	232.19939	-45.55626	-141.36398	63.25844	-108.74593	-87.86362	49.59365	-157.91739	-140.58676	32.22694	20.77419	-177.32747	28.20183	-16.11402	138.45734	660.29102	19.75158	115.91687	417.54355	-49.42883	83.07105	262.65332	-40.53547	64.16607	65.70512	-122.75706	84.98555	35.85335	26.25721	13.60183	44.07074	-149.21437	117.82819	32.03700	-22.35404	
3	0.017	-72.19795	1546.00012	-101.34090	-47.19004	1468.77283	-158.92799	-92.39090	1502.33154	64.67169	-5.92070	1552.20276	-62.89440	-182.01170	1339.73596	-128.76285	67.54395	1340.90283	-117.27135	-61.61600	1289.46729	-182.05380	16.33854	1152.01367	-198.95235	-344.97266	1280.63196	-148.92329	-449.35361	1210.56335	-129.75069	-551.14252	1235.05127	-158.78641	-687.49615	1270.70569	-101.69809	-678.07300	1266.76965	-168.99501	-737.85065	1288.00598	-105.08674	-732.03900	1283.08691	-177.63606	182.41196	1265.41528	-144.98286	333.01630	1210.84460	-80.92067	439.24814	1235.46436	-110.72731	565.65741	1256.56140	-33.40449	567.73706	1226.96777	-98.33891	615.01959	1275.00122	-45.92390	629.25006	1255.76599	-104.20135	-187.02289	936.11591	25.71145	89.49812	946.66772	34.19172	-186.71951	926.27032	-87.28986	82.65821	946.33044	-93.48441	-42.03586	927.51959	-156.84792	-221.38066	673.11615	27.25529	-187.29303	398.50195	-46.32733	-160.71678	232.19939	-45.55626	-141.37390	63.36014	-108.82224	-87.86362	49.59365	-157.91739	-140.58676	32.22694	20.77419	-177.33920	28.14571	-16.11620	138.48103	660.23798	19.88270	115.86907	417.62924	-49.39973	82.98401	262.56537	-40.52773	64.16607	65.70512	-122.75706	84.98555	35.85335	26.25721	13.52640	44.13509	-149.25281	117.82819	32.03700	-22.35404	
4	0.025	-72.18401	1545.95508	-101.32002	-47.19004	1468.77283	-158.92799	-92.39090	1502.33154	64.67169	-5.73980	1552.19836	-62.92364	-182.03033	1339.68909	-128.54692	67.67110	1340.89392	-117.13208	-61.61239	1289.44238	-181.95032	16.46535	1151.90369	-198.99564	-345.04385	1280.83374	-148.84985	-449.23358	1210.64282	-129.68820	-551.14941	1235.08716	-158.73064	-687.49615	1270.70569	-101.69809	-678.12061	1266.82983	-168.94554	-737.85065	1288.00598	-105.08674	-732.14429	1283.15698	-177.64000	182.45642	1265.50134	-145.00980	333.12045	1210.82312	-80.91747	439.36319	1235.47290	-110.81835	565.45264	1257.01465	-32.62673	567.73706	1226.96777	-98.33891	615.04645	1274.84851	-46.03701	629.19006	1255.64380	-104.35750	-186.89749	936.02490	25.72043	89.49812	946.66772	34.19172	-186.77649	926.24268	-87.20415	82.70272	946.25671	-93.49512	-42.03586	927.51959	-156.84792	-221.38066	673.11615	27.25529	-187.29303	398.50195	-46.32733	-160.70465	232.27667	-45.55508	-141.34108	63.20662	-108.68163	-87.86362	49.59365	-157.91739	-140.58676	32.22694	20.77419	-177.33920	28.14571	-16.11620	138.48103	660.23798	19.88270	115.86907	417.62924	-49.39973	82.98401	262.56537	-40.52773	64.16607	65.70512	-122.75706	85.03654	35.82025	26.26319	13.52640	44.13509	-149.25281	117.83358	31.98615	-22.37516	
5	0.033	-72.18401	1545.95508	-101.32002	-47.21797	1468.82739	-158.94505	-92.21597	1502.51672	65.35781	-5.72345	1552.15527	-62.92783	-181.93492	1339.71924	-128.55750	67.67110	1340.89392	-117.13208	-61.61600	1289.46729	-182.05380	16.46535	1151.90369	-198.99564	-345.04385	1280.83374	-148.84985	-449.15381	1210.69373	-129.72192	-551.00525	1235.13684	-158.52776	-687.42926	1270.88770	-101.78934	-678.05328	1266.94666	-168.93532	-737.83899	1288.07092	-105.15984	-732.05133	1283.24316	-177.62221	182.41196	1265.41528	-144.98286	333.00699	1210.76904	-80.58581	439.34717	1235.41968	-110.89563	565.56134	1256.97278	-32.48534	567.68011	1226.96021	-98.45751	615.00262	1274.80823	-46.09195	629.15936	1255.46472	-104.45435	-187.02289	936.11591	25.71145	89.55476	946.64978	34.26195	-186.71951	926.27032	-87.28986	82.78320	946.20300	-93.40615	-42.03586	927.51959	-156.84792	-221.41229	673.06592	27.30611	-187.29303	398.50195	-46.32733	-160.70465	232.27667	-45.55508	-141.41525	63.25928	-108.69650	-87.92060	49.52861	-157.90805	-140.58676	32.22694	20.77419	-177.33920	28.14571	-16.11620	138.52682	660.28680	19.79341	115.86907	417.62924	-49.39973	83.10634	262.56622	-40.51456	64.16607	65.70512	-122.75706	84.98555	35.85335	26.25721	13.52640	44.13509	-149.25281	117.82819	32.03700	-22.35404	
6	0.042	-72.10462	1545.89307	-101.29272	-47.21797	1468.82739	-158.94505	-92.26225	1502.34827	64.62499	-5.70402	1552.11047	-62.92720	-181.99046	1339.69421	-128.45779	67.67110	1340.89392	-117.13208	-61.61600	1289.46729	-182.05380	16.48457	1151.89453	-199.04813	-345.03372	1280.88428	-148.76431	-449.11072	1210.83801	-129.75038	-550.83972	1235.30334	-158.62433	-687.42926	1270.88770	-101.78934	-677.91516	1267.04602	-169.04225	-737.83899	1288.07092	-105.15984	-732.08752	1283.30359	-177.62175	182.45642	1265.50134	-145.00980	333.44543	1210.87268	-81.18936	439.25208	1235.33093	-110.81914	565.71344	1256.87354	-32.65223	567.64532	1226.89307	-98.50166	615.13733	1274.64954	-46.18899	629.11456	1255.65930	-104.66415	-186.89749	936.02490	25.72043	89.55476	946.64978	34.26195	-186.71951	926.27032	-87.28986	82.70272	946.25671	-93.49512	-42.03586	927.51959	-156.84792	-221.40269	673.11200	27.35395	-187.29303	398.50195	-46.32733	-160.70465	232.27667	-45.55508	-141.34108	63.20662	-108.68163	-87.86362	49.59365	-157.91739	-140.68686	32.23068	20.81468	-177.32747	28.20183	-16.11402	138.48103	660.23798	19.88270	115.86907	417.62924	-49.39973	83.01929	262.47827	-40.50683	64.16607	65.70512	-122.75706	84.98555	35.85335	26.25721	13.60183	44.07074	-149.21437	117.83358	31.98615	-22.37516	
7	0.050	-72.08716	1545.94324	-101.28622	-47.19004	1468.77283	-158.92799	-92.09788	1502.28381	64.70457	-5.72345	1552.15527	-62.92783	-181.87042	1339.83252	-128.60071	67.71578	1340.84607	-117.16776	-61.61239	1289.44238	-181.95032	16.46535	1151.90369	-198.99564	-345.10104	1280.88379	-148.60509	-449.07483	1210.89917	-129.74971	-550.72119	1235.32434	-158.68481	-687.25867	1270.99768	-101.68483	-677.99908	1267.18152	-169.00375	-737.85205	1288.12488	-105.15607	-732.08838	1283.43640	-177.47852	182.45898	1265.53711	-145.18832	333.52917	1210.88513	-81.47998	439.25208	1235.33093	-110.81914	565.71344	1256.87354	-32.65223	567.64441	1226.82434	-98.56000	615.14514	1274.60486	-46.16758	628.99054	1255.45117	-104.64169	-186.89749	936.02490	25.72043	89.55476	946.64978	34.26195	-186.71951	926.27032	-87.28986	82.78320	946.20300	-93.40615	-42.03586	927.51959	-156.84792	-221.39095	673.03162	27.21048	-187.29303	398.50195	-46.32733	-160.70465	232.27667	-45.55508	-141.34108	63.20662	-108.68163	-87.86362	49.59365	-157.91739	-140.68686	32.23068	20.81468	-177.32747	28.20183	-16.11402	138.48103	660.23798	19.88270	115.86907	417.62924	-49.39973	83.07105	262.65332	-40.53547	64.16607	65.70512	-122.75706	84.98555	35.85335	26.25721	13.52640	44.13509	-149.25281	117.82819	32.03700	-22.35404	
8	0.058	-71.98034	1545.95471	-101.24126	-47.04304	1468.78845	-158.84746	-91.91973	1502.25562	64.65592	-5.68318	1552.12439	-62.87912	-181.87042	1339.83252	-128.60071	67.73270	1340.79907	-117.16854	-61.49590	1289.43555	-182.01564	16.46535	1151.90369	-198.99564	-345.10104	1280.88379	-148.60509	-449.07483	1210.89917	-129.74971	-550.65717	1235.38428	-158.74242	-687.49066	1271.14514	-101.42880	-677.96313	1267.40625	-169.02042	-737.94330	1288.34021	-105.13935	-732.02661	1283.57410	-177.50919	182.41196	1265.41528	-144.98286	333.52917	1210.88513	-81.47998	439.35736	1235.26465	-110.80618	565.71344	1256.87354	-32.65223	567.64441	1226.82434	-98.56000	615.20337	1274.53552	-46.20922	629.02393	1255.35632	-104.60243	-187.02289	936.11591	25.71145	89.55476	946.64978	34.26195	-186.65533	926.31171	-87.21197	82.78320	946.20300	-93.40615	-42.03586	927.51959	-156.84792	-221.40269	673.11200	27.35395	-187.29303	398.50195	-46.32733	-160.70465	232.27667	-45.55508	-141.34108	63.20662	-108.68163	-87.92503	49.51984	-157.91322	-140.51646	32.18256	20.79461	-177.33920	28.14571	-16.11620	138.48103	660.23798	19.88270	115.86907	417.62924	-49.39973	83.07105	262.65332	-40.53547	64.16607	65.70512	-122.75706	84.98555	35.85335	26.25721	13.52640	44.13509	-149.25281	117.83358	31.98615	-22.37516	
